StationID,StationName,StationType,Elevation(m),Longitude,Latitude,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
52836,都兰,基本站,3189,98.1,36.3,,,,178.7,174.2,146.4,171.6,198.5,275.9,142.9,120.1,108.6,171.6,172.9,125.4,163.9,323.3,107.2,234.2,236.8,193.6,125,155.4,164.1,184.8,238,194,149.1,195.2,187.3,208.5,191.5,175.7,134.8,173.2,230.3,237.7,237.6,318.4,171.1,185.4,230,169.9,212.2,167.3,174.7,202.9,213.7,183.9,212.4,123.6,337.6,142.5,270.6,278.4,242.6,281.5,229.8,273.6,318.7,218.5,300.7,154,212.4,260.8,207.4
52842,茶卡,一般站,3087.6,99.08333333,36.78333333,,,,,,122.8,240.9,317,259.6,136.2,202.7,150.7,228,243.3,218.1,151.6,395.9,166,174,173.4,268.8,158.9,178.4,232.9,236,203.8,134.4,141.3,156.6,135.6,287.4,228.3,160.5,156.9,201.8,285.3,226.2,198.7,426.8,160.8,209.2,252.8,226.3,193.3,175.2,182.9,162.7,241.3,249.4,176.6,135.2,221.5,174.9,182.3,310.9,197.6,251.9,206.2,321.7,262.7,251,254.9,295.8,163.9,251.9,303.1
52856,共和,基本站,2835,100.6166667,36.26666667,,,318.9,305.4,322.9,158.6,257,375.1,329.4,284.8,389.6,265.9,262.8,346.3,269.9,280.4,522.5,237.1,291.4,305.8,328.3,296.7,308.3,312.5,363.7,384,220.6,325.5,249.5,273.4,356.5,281.2,410.5,248.9,384.7,293.7,305.8,398,471,254.9,278,350.3,397.5,290,244.6,267.2,312.9,299.7,308.6,244,336.2,316.8,266.7,359.3,377,332.1,332.9,353.6,340.1,328.8,314.5,332.4,275.9,351.6,308.9,464.2
52866,西宁,基本站,2295.2,101.75,36.73333333,,,,354.6,426.5,291.4,361.6,433.2,411.2,327.3,533.9,264.4,336.9,488.8,262.1,196.2,541.2,289.8,371.3,425.9,379.5,282.9,377.9,369.8,366.3,377.6,329.6,467.1,396.7,274.8,407.7,258.7,366.6,321.7,448,343.1,338.6,393.7,480.4,333.1,243.2,425.2,420.9,418.1,379,402.1,409.9,460.3,411.9,343,397.8,387.7,537.9,429.5,484.1,352.3,523.1,378.6,459.1,405,390.4,446.1,413,446.5,306.2,444.1
52868,贵德,基本站,2273,101.3666667,36.01666667,,,,,,,217.2,311.6,252.7,200,387.5,177,252.9,340.3,158.6,170.1,358.4,206.1,238.2,228.8,245.4,263.5,294.6,257.3,262.5,308.5,190.3,320.6,269.8,181.5,295.3,182.3,292.3,278.8,318.3,196.7,249.4,272.2,321.9,246,197.6,271.7,237.8,265.3,203.7,187.8,318.1,230.1,280.5,135,204.2,166.4,229.9,287.3,302.9,274.5,314.8,314.6,285.4,238.6,276.3,304.5,248.3,256.9,184,329.7
52876,民和,基准站,1813.9,102.8333333,36.33333333,,,,,,,246,447.3,488.9,276.2,567.7,232.4,273,438.1,198.6,308.4,573.2,406.5,341.3,397.8,378.1,290.8,417.4,309.8,337.3,359,299.4,456,413.3,218.5,269.7,257.3,341.2,292.3,388.1,299,269.2,401.4,345.4,327.4,208.4,460.5,454.6,358.3,371.5,351.2,382.2,340.9,376.7,365,256.9,292.2,402.3,355.3,297.6,250.5,401.7,395.4,326,306.2,273.2,378.2,281,398.1,278.6,411.6
52908,五道梁,基本站,4612.2,93.08333333,35.21666667,,,,,,,302.2,265.5,291.1,242.5,215.1,286.3,294.8,292.3,239.7,298.5,307.2,244,231.6,260.3,288.3,279,206,314.6,255.4,282.3,316.7,186.1,209,229.9,337.2,246.8,295.3,136.3,313.3,232.4,259.4,255.4,407,246.7,298.5,256.8,233,274.7,265.2,372.1,326.2,309.7,326.6,283,291.2,402.1,261.6,300.8,340,279.1,286.6,407.5,429.4,371.8,367,425.5,273.4,407.9,288.8,320.6
52943,兴海,基准站,3323.2,99.98333333,35.58333333,,,,,,,,,,252.7,413.3,319.1,297.7,452.9,292,301.7,476.2,340,344.4,290.3,416.3,332.9,304.1,399.9,452.6,412.8,214.1,265.5,311.5,256,400.1,361.8,430.9,345.6,402.3,383.2,351.1,368,483.1,327.8,253.1,369.8,344.8,397.6,354.9,326,358.1,347.3,369.9,247.3,356.6,358.6,324.5,329.5,530.9,376.5,432.7,468.8,519.4,412.7,381.7,425.4,290.4,382.7,318.9,514.5
52955,贵南,基本站,13120,100.7333333,35.58333333,,,,,,,325.5,405.8,491.6,279.8,464.3,290.6,361.4,529.4,353.8,367.5,619.5,326.8,390.6,367.7,445.8,398.5,382,467.4,463.5,550.5,290.5,385.4,305.9,298.7,378.8,341.3,508.3,393.8,472.1,374.4,353.9,460.9,557.9,374.6,300.9,404.9,542.2,361.1,323.6,395.4,435.5,408.9,489.2,248.3,355.3,346,405.4,432.1,478.3,519.7,500.8,456.4,506.1,402.3,455.2,575.1,357,485.8,464.7,614.4
52974,同仁,基本站,2475,102.0333333,35.55,,,,,,,,539.3,470.1,395.8,518.4,346.6,447.5,583.2,345.1,346.9,589.5,373.6,373.6,412.1,364.4,280.1,455.8,343.6,399.8,508.7,384.9,545.5,405.8,354.9,483.1,325.5,460.8,383,526.8,324,416.8,455.2,431.2,428.3,325.3,466.3,364.9,396.3,458.2,329.5,354.8,338.2,419.2,309.8,293,356.5,477.7,464.9,453.3,364.2,516.3,473.5,426.2,431.8,472.8,439.2,332.8,431.8,391.8,492.8
